Date,Ticker Pair,Spread,Return
2016-01-10,AAPL-MSFT,-0.5440554868481,
2016-01-17,AAPL-MSFT,-0.1658578548936782,0.02736004392201008
2016-01-24,AAPL-MSFT,0.08057898549293337,0.018672395019243115
2016-01-31,AAPL-MSFT,-1.1925950018254963,-0.0937761899072257
2016-02-07,AAPL-MSFT,-0.312256735178449,0.060623821779592246
2016-02-14,AAPL-MSFT,-0.40887907411409796,-0.0070976189984343074
2016-02-21,AAPL-MSFT,-0.5643041002202518,-0.011695039659801676
2016-02-28,AAPL-MSFT,-0.30340715597237644,0.01909326903719366
2016-03-06,AAPL-MSFT,0.3373080301959056,0.04871527982405954
2016-03-13,AAPL-MSFT,-0.03279022520270069,-0.027269535087240282
2016-03-20,AAPL-MSFT,0.3398145731282509,0.027877023237759424
2016-03-27,AAPL-MSFT,0.12493772252945556,-0.015820527590625466
2016-04-03,AAPL-MSFT,0.33376175442309275,0.015794376637826346
2016-04-10,AAPL-MSFT,0.45320962285406063,0.008602678437881317
2016-04-17,AAPL-MSFT,0.2967158154647764,-0.011650770795016863
2016-04-24,AAPL-MSFT,0.7525683456824873,0.03158100564373001
2016-05-01,AAPL-MSFT,-0.3715066850975232,-0.07609554983361866
2016-05-08,AAPL-MSFT,-0.5796957802989664,-0.01528599002741593
2016-05-15,AAPL-MSFT,-1.093400861665347,-0.037420955219562235
2016-05-22,AAPL-MSFT,-0.37371964099218297,0.053996794319096764
2016-05-29,AAPL-MSFT,-0.10819664824413715,0.02029144536007954
2016-06-05,AAPL-MSFT,-0.30392670498744623,-0.014085230379675684
2016-06-12,AAPL-MSFT,-0.09559806390110788,0.015278996935511269
2016-06-19,AAPL-MSFT,-0.22510859411495135,-0.009190586517119237
2016-06-26,AAPL-MSFT,-0.42246369030581754,-0.014260802358431968
2016-07-03,AAPL-MSFT,-0.4228806049507888,-3.134128774506806e-05
2016-07-10,AAPL-MSFT,-0.6118097395509445,-0.01404449928075513
2016-07-17,AAPL-MSFT,-0.6791151286028628,-0.0050476525083658075
2016-07-24,AAPL-MSFT,-1.406786820386306,-0.05465946320633386
2016-07-31,AAPL-MSFT,-0.6858812640191032,0.05430892997468728
2016-08-07,AAPL-MSFT,-0.4951211023052357,0.014383331699491686
2016-08-14,AAPL-MSFT,-0.40175386115647066,0.006857513992337805
2016-08-21,AAPL-MSFT,-0.26280337103809287,0.010232948976001355
2016-08-28,AAPL-MSFT,-0.665252586634208,-0.029244485661341746
2016-09-04,AAPL-MSFT,-0.4797428492370796,0.013591067159665182
2016-09-11,AAPL-MSFT,-0.7255164739285512,-0.017383360651885837
2016-09-18,AAPL-MSFT,0.5024500912394435,0.09581989311859873
2016-09-25,AAPL-MSFT,0.19438677579156632,-0.022374371342397725
2016-10-02,AAPL-MSFT,0.19515219222031205,5.621216406392904e-05
2016-10-09,AAPL-MSFT,0.2692893890176102,0.005462071318165895
2016-10-16,AAPL-MSFT,0.7802761559302157,0.03787316277686914
2016-10-23,AAPL-MSFT,0.1375180686608707,-0.04776661930285764
2016-10-30,AAPL-MSFT,-0.2520397508921091,-0.02821989885099807
2016-11-06,AAPL-MSFT,-0.5138983681190488,-0.018622988065010282
2016-11-13,AAPL-MSFT,-0.6373699131796347,-0.009047509814983812
2016-11-20,AAPL-MSFT,-0.8298925707251666,-0.014409969705014847
2016-11-27,AAPL-MSFT,-0.6575561725613717,0.012736494741005577
2016-12-04,AAPL-MSFT,-0.5985289305224414,0.004239802716362817
2016-12-11,AAPL-MSFT,-0.7172911069198199,-0.00905567989556344
2016-12-18,AAPL-MSFT,-0.5498394907248675,0.012402167216734261
2016-12-25,AAPL-MSFT,-0.6897516248320527,-0.01034601560226144